$OR;D2
* From-Time  To-Time
7.0 8.0
* Factor
1.0
12_5 12_5 0
12_5 13_16 2
12_5 14_7 1
12_5 15_14 0
12_5 16_10 5
12_5 16_11 1
12_5 17_12 0
12_5 17_6 0
12_5 20_10 1
12_5 21_10 0
12_5 22_11 0
12_5 3_12 0
12_5 4_3 1
12_5 4_7 0
12_5 5_11 1
12_5 5_3 4
12_5 6_0 0
12_5 6_14 1
12_5 6_5 1
12_5 7_2 1
12_5 8_4 2
12_5 8_9 0
12_5 9_11 1
12_5 9_7 2
13_16 12_5 1
13_16 13_16 0
13_16 14_7 0
13_16 15_14 0
13_16 16_10 0
13_16 16_11 0
13_16 17_12 0
13_16 17_6 0
13_16 20_10 0
13_16 21_10 2
13_16 22_11 2
13_16 3_12 1
13_16 4_3 0
13_16 4_7 0
13_16 5_11 1
13_16 5_3 1
13_16 6_0 0
13_16 6_14 0
13_16 6_5 0
13_16 7_2 0
13_16 8_4 1
13_16 8_9 5
13_16 9_11 1
13_16 9_7 0
14_7 12_5 0
14_7 13_16 0
14_7 14_7 0
14_7 15_14 5
14_7 16_10 3
14_7 16_11 0
14_7 17_12 2
14_7 17_6 2
14_7 20_10 0
14_7 21_10 0
14_7 22_11 0
14_7 3_12 3
14_7 4_3 0
14_7 4_7 0
14_7 5_11 1
14_7 5_3 0
14_7 6_0 0
14_7 6_14 25
14_7 6_5 10
14_7 7_2 0
14_7 8_4 2
14_7 8_9 16
14_7 9_11 0
14_7 9_7 3
15_14 12_5 7
15_14 13_16 0
15_14 14_7 0
15_14 15_14 0
15_14 16_10 0
15_14 16_11 2
15_14 17_12 0
15_14 17_6 0
15_14 20_10 4
15_14 21_10 0
15_14 22_11 0
15_14 3_12 6
15_14 4_3 1
15_14 4_7 1
15_14 5_11 0
15_14 5_3 4
15_14 6_0 12
15_14 6_14 0
15_14 6_5 3
15_14 7_2 2
15_14 8_4 2
15_14 8_9 0
15_14 9_11 1
15_14 9_7 5
16_10 12_5 0
16_10 13_16 0
16_10 14_7 2
16_10 15_14 1
16_10 16_10 0
16_10 16_11 2
16_10 17_12 2
16_10 17_6 2
16_10 20_10 0
16_10 21_10 2
16_10 22_11 0
16_10 3_12 0
16_10 4_3 0
16_10 4_7 0
16_10 5_11 0
16_10 5_3 0
16_10 6_0 1
16_10 6_14 1
16_10 6_5 0
16_10 7_2 1
16_10 8_4 2
16_10 8_9 5
16_10 9_11 0
16_10 9_7 1
16_11 12_5 0
16_11 13_16 0
16_11 14_7 0
16_11 15_14 1
16_11 16_10 2
16_11 16_11 0
16_11 17_12 1
16_11 17_6 0
16_11 20_10 0
16_11 21_10 1
16_11 22_11 1
16_11 3_12 0
16_11 4_3 0
16_11 4_7 1
16_11 5_11 13
16_11 5_3 1
16_11 6_0 8
16_11 6_14 0
16_11 6_5 7
16_11 7_2 0
16_11 8_4 5
16_11 8_9 2
16_11 9_11 2
16_11 9_7 1
17_12 12_5 0
17_12 13_16 0
17_12 14_7 0
17_12 15_14 0
17_12 16_10 1
17_12 16_11 0
17_12 17_12 0
17_12 17_6 0
17_12 20_10 1
17_12 21_10 0
17_12 22_11 0
17_12 3_12 0
17_12 4_3 0
17_12 4_7 1
17_12 5_11 15
17_12 5_3 0
17_12 6_0 0
17_12 6_14 0
17_12 6_5 0
17_12 7_2 0
17_12 8_4 0
17_12 8_9 1
17_12 9_11 1
17_12 9_7 0
17_6 12_5 3
17_6 13_16 0
17_6 14_7 2
17_6 15_14 0
17_6 16_10 2
17_6 16_11 0
17_6 17_12 0
17_6 17_6 0
17_6 20_10 6
17_6 21_10 2
17_6 22_11 0
17_6 3_12 7
17_6 4_3 1
17_6 4_7 0
17_6 5_11 0
17_6 5_3 0
